Building Type,Number of Floors,Area,Cost
Office Building,30,20000,25000
Apartment Building,20,15000,18000
Detached House,2,300,500
Office Building,25,18000,22000
Apartment Building,18,12000,16000
Detached House,1,200,300
Office Building,35,25000,30000
Apartment Building,15,10000,13000
Detached House,3,450,750
Office Building,28,21000,26000
Apartment Building,22,14000,19000
Detached House,2,350,550
Office Building,32,23000,28000
Apartment Building,17,11000,15000
Detached House,1,250,400
Office Building,40,30000,35000
Apartment Building,21,13000,17500
Detached House,3,500,850
Office Building,27,19500,24000
Apartment Building,19,11500,15500
Detached House,2,400,650
Office Building,36,26000,31000
Apartment Building,16,9500,12500
Detached House,1,280,450
Office Building,34,24000,29000
Apartment Building,23,14500,18500
Detached House,2,370,620
Office Building,29,22000,27000
Apartment Building,14,8500,11000
Detached House,3,550,900
